"","Countrycode","Country.or.Area","Subgroup","Source","Year","Value","Region"
"199","BDI","Burundi","Female","UNESCO_UIS Database_Sep2007",2005,74001,"Sub-Saharan Africa"
"200","BDI","Burundi","Female","UNESCO_UIS Database_Sep2007",2002,56263,"Sub-Saharan Africa"
"201","BDI","Burundi","Female","UNESCO_UIS Database_Sep2007",2003,56263,"Sub-Saharan Africa"
"202","BDI","Burundi","Female","UNESCO_UIS Database_Sep2007",2004,65523,"Sub-Saharan Africa"
"203","BDI","Burundi","Male","UNESCO_UIS Database_Sep2007",2001,72941,"Sub-Saharan Africa"
"204","BDI","Burundi","Male","UNESCO_UIS Database_Sep2007",1999,72941,"Sub-Saharan Africa"
"205","BDI","Burundi","Male","UNESCO_UIS Database_Sep2007",2002,72941,"Sub-Saharan Africa"
"206","BDI","Burundi","Male","UNESCO_UIS Database_Sep2007",2003,72941,"Sub-Saharan Africa"
"207","BDI","Burundi","Female","UNESCO_UIS Database_Sep2007",2000,56263,"Sub-Saharan Africa"
"208","BDI","Burundi","Female","UNESCO_UIS Database_Sep2007",1999,56263,"Sub-Saharan Africa"
"209","BDI","Burundi","Male","UNESCO_UIS Database_Sep2007",2004,86728,"Sub-Saharan Africa"
"210","BDI","Burundi","Male","UNESCO_UIS Database_Sep2007",2005,99716,"Sub-Saharan Africa"
"211","BEL","Belgium","Female","UNESCO_UIS Database_Sep2007",2001,578670,"Europe & Central Asia"
"212","BEL","Belgium","Female","UNESCO_UIS Database_Sep2007",2002,593536,"Europe & Central Asia"
"213","BEL","Belgium","Female","UNESCO_UIS Database_Sep2007",2000,541800,"Europe & Central Asia"
"214","BEL","Belgium","Female","UNESCO_UIS Database_Sep2007",1999,523256,"Europe & Central Asia"
"215","BEL","Belgium","Male","UNESCO_UIS Database_Sep2007",2002,555793,"Europe & Central Asia"
"216","BEL","Belgium","Male","UNESCO_UIS Database_Sep2007",2000,515736,"Europe & Central Asia"
"217","BEL","Belgium","Male","UNESCO_UIS Database_Sep2007",2001,546586,"Europe & Central Asia"
