"Country.or.Area","Subgroup","Source","1999","2000","2001","2002","2003","2004","2005"
"Honduras","Male","UNESCO_UIS Database_Sep2007",252100,252100,252100,252100,252100,252100,257024
"Hong Kong SAR","Female","UNESCO_UIS Database_Sep2007",237489,237489,237489,237013,237755,240955,243873
"Hong Kong SAR","Male","UNESCO_UIS Database_Sep2007",252550,252550,252550,251524,249463,251824,254481
"Hungary","Female","UNESCO_UIS Database_Sep2007",496030,492017,494714,497765,504479,469288,467612
"Hungary","Male","UNESCO_UIS Database_Sep2007",510516,509838,512762,515706,525500,493954,492603
"Iceland","Female","UNESCO_UIS Database_Sep2007",16366,16285,16221,16843,17449,16201,16285
"Iceland","Male","UNESCO_UIS Database_Sep2007",16114,15848,15965,16643,17138,16499,16603
"India","Female","UNESCO_UIS Database_Sep2007",26386714,28113035,28803282,30984955,34495057,35898028,38383177
"India","Male","UNESCO_UIS Database_Sep2007",40703176,42917480,43589444,45230728,46555072,47960240,51078616
"Indonesia","Female","UNESCO_UIS Database_Sep2007",6856852,6856852,7233748,7416333,7772885,8024986,7830661
"Indonesia","Male","UNESCO_UIS Database_Sep2007",7407060,7407060,7594337,7724380,8099650,8328947,8162526
"Iran","Female","UNESCO_UIS Database_Sep2007",4568672,4703729,4702432,4712296,4734784,4856814,4688860
"Iran","Male","UNESCO_UIS Database_Sep2007",5158276,5251038,5231039,5204076,5289321,5455747,5253341
"Iraq","Female","UNESCO_UIS Database_Sep2007",415384,453232,460598,474361,597877,663938,681716
"Iraq","Male","UNESCO_UIS Database_Sep2007",689644,771021,796508,820034,879739,1042296,1069448
"Ireland","Female","UNESCO_UIS Database_Sep2007",173901,171287,166752,164606,163113,162416,161751
"Ireland","Male","UNESCO_UIS Database_Sep2007",172415,166960,161672,158437,157507,158144,155586
"Israel","Female","UNESCO_UIS Database_Sep2007",276280,286518,288794,293850,291525,296076,297017
"Israel","Male","UNESCO_UIS Database_Sep2007",293128,301145,305416,312291,311796,311148,313324
"Italy","Female","UNESCO_UIS Database_Sep2007",2163240,2153305,2153305,2159504,2194396,2184725,2183211
"Italy","Male","UNESCO_UIS Database_Sep2007",2286772,2320057,2320057,2356298,2333904,2320974,2324197
"Jamaica","Female","UNESCO_UIS Database_Sep2007",116179,115663,115069,115078,115062,122456,123317
"Jamaica","Male","UNESCO_UIS Database_Sep2007",114998,113101,112634,113238,114639,123077,123015
"Japan","Female","UNESCO_UIS Database_Sep2007",4400282,4310967,4220839,4112779,3978217,3858180,3765041
"Japan","Male","UNESCO_UIS Database_Sep2007",4558417,4471147,4384973,4281271,4153000,4036276,3945398
"Jordan","Female","UNESCO_UIS Database_Sep2007",286424,289116,299545,299545,302574,302663,308094
"Jordan","Male","UNESCO_UIS Database_Sep2007",293021,294419,307070,307070,310546,313068,317588
"Kazakhstan","Female","UNESCO_UIS Database_Sep2007",967604,992982,988181,983360,1017675,1015852,989958
"Kazakhstan","Male","UNESCO_UIS Database_Sep2007",998867,1009898,1043494,1036461,1049493,1074300,1049953
"Kenya","Female","UNESCO_UIS Database_Sep2007",886875,926399,1004225,1004225,1107354,1164040,1197052
